;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
277;Frau Berta Garlan;Schnitzler, Arthur;1901;m;48563
278;Der Weg ins Freie;Schnitzler, Arthur;1907;m;117845
279;Doktor Gräsler, Badearzt;Schnitzler, Arthur;1917;m;34702
280;Casanovas Heimfahrt;Schnitzler, Arthur;1918;m;36006
281;Anna;Schopenhauer, Adele;1845;f;89890
282;Gabriele;Schopenhauer, Johanna;1819;f;153535
283;Die Tante;Schopenhauer, Johanna;1823;f;122453
284;Richard Wood;Schopenhauer, Johanna;1837;f;112265
285;Aus den Memoiren einer Sängerin;Schröder-Devrient, Wilhelmine;1829;f;83375
286;Problematische Naturen. Erste Abtheilung;Spielhagen, Friedrich;1861;m;190868
287;Problematische Naturen. Zweite Abtheilung (Durch Nacht zum Licht);Spielhagen, Friedrich;1861;m;169341
288;Hammer und Amboß;Spielhagen, Friedrich;1869;m;271263
289;Zum Zeitvertreib;Spielhagen, Friedrich;1897;m;57097
290;Faustulus;Spielhagen, Friedrich;1898;m;68144
291;Der Jude;Spindler, Carl;1827;m;262221
292;Conrad;Spitteler, Carl;1898;m;41703
293;Imago;Spitteler, Carl;1906;m;46916
294;Die Mädchenfeinde;Spitteler, Carl;1907;m;26213
295;Heidis Lehr- und Wanderjahre;Spyri, Johanna;1880;f;51187
296;Heidi kann brauchen, was es gelernt hat;Spyri, Johanna;1881;f;37366
297;Die Mappe meines Urgroßvaters;Stifter, Adalbert;1841;m;70588
298;Feldblumen;Stifter, Adalbert;1841;m;37247
299;Die Narrenburg;Stifter, Adalbert;1843;m;35136
300;Der Hagestolz;Stifter, Adalbert;1845;m;39763
301;Zwei Schwestern;Stifter, Adalbert;1846;m;49639
302;Der Nachsommer;Stifter, Adalbert;1857;m;248357
303;Witiko;Stifter, Adalbert;1865;m;276665
304;Der Schimmelreiter;Storm, Theodor;1888;m;38334
305;Frau Sorge;Sudermann, Hermann;1887;m;66245
306;Jons und Erdme;Sudermann, Hermann;1917;m;40510
307;Die Waffen nieder!;Suttner, Bertha von;1889;f;129146
308;Marthas Kinder;Suttner, Bertha von;1902;f;85043
